--
-- Gathered from https://www.scoreboard.com/en/mls/results/
-- ';' separated
-- [DATE, DD.MM.YYYY];[HOMEID];[AWAYID];[HOMESCORE] : [AWAYSCORE]
--
-- 01.09.2019;aa050628-4f65-4997-abef-e3fd6b80d07e;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;4 : 3
-- 31.08.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;52f41053-5060-4535-9aca-03c0a6a41a82;1 : 0
-- 31.08.2019;07979bc9-ac85-47f7-9d98-d5275039d627;fd36043a-ce04-46e7-99ae-63406444834b;3 : 0
-- 31.08.2019;ce6a772c-9a31-4b10-81b1-f59ec6346b31;431c60bd-c4ae-4253-b554-58af9cf46dd3;1 : 3
-- 31.08.2019;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;ee42400a-6bdf-4b68-ac30-437f50368b7e;1 : 0
-- 31.08.2019;028c0edc-b63e-4f72-8e4b-34d1a78e3671;4de09cc0-c8b5-4651-a73a-68e05ffacc22;3 : 1
-- 31.08.2019;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;821e5563-bb3c-4a5e-8d56-79e25efb49cd;1 : 1
-- 31.08.2019;93eba939-30e6-4702-b854-87051111edbd;34e2f043-ca34-4743-847b-17f2000c8e16;0 : 3
-- 31.08.2019;853ce6e8-987e-4cf0-846a-def18d96913a;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;1 : 1
-- 31.08.2019;2313ec02-1e1d-4fd1-8278-57ed5bc64370;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;3 : 1
-- 31.08.2019;9df3a517-2754-438b-bfe3-9d081aefa350;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;0 : 2
-- 28.08.2019;93eba939-30e6-4702-b854-87051111edbd;ce6a772c-9a31-4b10-81b1-f59ec6346b31;2 : 1
-- 25.08.2019;f0b354a2-f8db-4b52-a180-f23816cbd6ac;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;3 : 3
-- 25.08.2019;028c0edc-b63e-4f72-8e4b-34d1a78e3671;ee42400a-6bdf-4b68-ac30-437f50368b7e;5 : 1
-- 25.08.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 3
-- 24.08.2019;52f41053-5060-4535-9aca-03c0a6a41a82;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 0
-- 24.08.2019;07979bc9-ac85-47f7-9d98-d5275039d627;ce6a772c-9a31-4b10-81b1-f59ec6346b31;3 : 1
-- 24.08.2019;853ce6e8-987e-4cf0-846a-def18d96913a;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 1
-- 24.08.2019;2313ec02-1e1d-4fd1-8278-57ed5bc64370;34e2f043-ca34-4743-847b-17f2000c8e16;3 : 1
-- 24.08.2019;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;93eba939-30e6-4702-b854-87051111edbd;2 : 1
-- 24.08.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;9df3a517-2754-438b-bfe3-9d081aefa350;2 : 1
-- 23.08.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;aa050628-4f65-4997-abef-e3fd6b80d07e;1 : 2
-- 23.08.2019;fd36043a-ce04-46e7-99ae-63406444834b;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;0 : 1
-- 22.08.2019;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;b1ab1613-d652-403f-8c7f-8ca7dfd37804;1 : 0
-- 21.08.2019;f0b354a2-f8db-4b52-a180-f23816cbd6ac;07979bc9-ac85-47f7-9d98-d5275039d627;4 : 0
-- 21.08.2019;34e2f043-ca34-4743-847b-17f2000c8e16;9df3a517-2754-438b-bfe3-9d081aefa350;1 : 2
-- 21.08.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 0
-- 18.08.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;0 : 2
-- 17.08.2019;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;aa050628-4f65-4997-abef-e3fd6b80d07e;2 : 2
-- 17.08.2019;52f41053-5060-4535-9aca-03c0a6a41a82;f0b354a2-f8db-4b52-a180-f23816cbd6ac;0 : 2
-- 17.08.2019;ce6a772c-9a31-4b10-81b1-f59ec6346b31;34e2f043-ca34-4743-847b-17f2000c8e16;1 : 0
-- 17.08.2019;ee42400a-6bdf-4b68-ac30-437f50368b7e;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 2
-- 17.08.2019;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;07979bc9-ac85-47f7-9d98-d5275039d627;2 : 1
-- 17.08.2019;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2313ec02-1e1d-4fd1-8278-57ed5bc64370;2 : 0
-- 17.08.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;fd36043a-ce04-46e7-99ae-63406444834b;1 : 1
-- 17.08.2019;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;2 : 2
-- 17.08.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;431c60bd-c4ae-4253-b554-58af9cf46dd3;1 : 4
-- 17.08.2019;93eba939-30e6-4702-b854-87051111edbd;028c0edc-b63e-4f72-8e4b-34d1a78e3671;3 : 3
-- 17.08.2019;9df3a517-2754-438b-bfe3-9d081aefa350;853ce6e8-987e-4cf0-846a-def18d96913a;1 : 1
-- 14.08.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;821e5563-bb3c-4a5e-8d56-79e25efb49cd;3 : 2
-- 14.08.2019;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;028c0edc-b63e-4f72-8e4b-34d1a78e3671;2 : 0
-- 14.08.2019;52f41053-5060-4535-9aca-03c0a6a41a82;aa050628-4f65-4997-abef-e3fd6b80d07e;3 : 0
-- 14.08.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;1 : 0
-- 14.08.2019;fd36043a-ce04-46e7-99ae-63406444834b;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;1 : 0
-- 11.08.2019;f0b354a2-f8db-4b52-a180-f23816cbd6ac;9df3a517-2754-438b-bfe3-9d081aefa350;4 : 2
-- 11.08.2019;34e2f043-ca34-4743-847b-17f2000c8e16;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;2 : 1
-- 11.08.2019;2313ec02-1e1d-4fd1-8278-57ed5bc64370;ee42400a-6bdf-4b68-ac30-437f50368b7e;2 : 1
-- 11.08.2019;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;431c60bd-c4ae-4253-b554-58af9cf46dd3;2 : 1
-- 10.08.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;ce6a772c-9a31-4b10-81b1-f59ec6346b31;3 : 1
-- 10.08.2019;821e5563-bb3c-4a5e-8d56-79e25efb49cd;93eba939-30e6-4702-b854-87051111edbd;3 : 2
-- 10.08.2019;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;07979bc9-ac85-47f7-9d98-d5275039d627;2 : 1
-- 10.08.2019;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;52f41053-5060-4535-9aca-03c0a6a41a82;1 : 2
-- 10.08.2019;028c0edc-b63e-4f72-8e4b-34d1a78e3671;b1ab1613-d652-403f-8c7f-8ca7dfd37804;5 : 3
-- 10.08.2019;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;4de09cc0-c8b5-4651-a73a-68e05ffacc22;2 : 2
-- 10.08.2019;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;fd36043a-ce04-46e7-99ae-63406444834b;1 : 1
-- 10.08.2019;aa050628-4f65-4997-abef-e3fd6b80d07e;853ce6e8-987e-4cf0-846a-def18d96913a;3 : 3
-- 08.08.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;ee42400a-6bdf-4b68-ac30-437f50368b7e;3 : 2
-- 04.08.2019;aa050628-4f65-4997-abef-e3fd6b80d07e;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;2 : 3
-- 04.08.2019;34e2f043-ca34-4743-847b-17f2000c8e16;2313ec02-1e1d-4fd1-8278-57ed5bc64370;1 : 5
-- 04.08.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;f021bbaf-ea80-468a-8cd0-b3674327dee5;1 : 0
-- 03.08.2019;52f41053-5060-4535-9aca-03c0a6a41a82;431c60bd-c4ae-4253-b554-58af9cf46dd3;3 : 1
-- 03.08.2019;07979bc9-ac85-47f7-9d98-d5275039d627;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 1
-- 03.08.2019;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;93eba939-30e6-4702-b854-87051111edbd;6 : 3
-- 03.08.2019;ee42400a-6bdf-4b68-ac30-437f50368b7e;821e5563-bb3c-4a5e-8d56-79e25efb49cd;0 : 1
-- 03.08.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;ce6a772c-9a31-4b10-81b1-f59ec6346b31;1 : 2
-- 03.08.2019;853ce6e8-987e-4cf0-846a-def18d96913a;f0b354a2-f8db-4b52-a180-f23816cbd6ac;0 : 2
-- 03.08.2019;fd36043a-ce04-46e7-99ae-63406444834b;028c0edc-b63e-4f72-8e4b-34d1a78e3671;2 : 0
-- 03.08.2019;9df3a517-2754-438b-bfe3-9d081aefa350;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;2 : 0
-- 03.08.2019;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;3 : 0
-- 27.07.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;4 : 0
-- 27.07.2019;07979bc9-ac85-47f7-9d98-d5275039d627;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;3 : 1
-- 27.07.2019;821e5563-bb3c-4a5e-8d56-79e25efb49cd;34e2f043-ca34-4743-847b-17f2000c8e16;0 : 0
-- 27.07.2019;028c0edc-b63e-4f72-8e4b-34d1a78e3671;52f41053-5060-4535-9aca-03c0a6a41a82;0 : 0
-- 27.07.2019;ee42400a-6bdf-4b68-ac30-437f50368b7e;aa050628-4f65-4997-abef-e3fd6b80d07e;0 : 1
-- 27.07.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;ce6a772c-9a31-4b10-81b1-f59ec6346b31;0 : 0
-- 27.07.2019;93eba939-30e6-4702-b854-87051111edbd;2313ec02-1e1d-4fd1-8278-57ed5bc64370;4 : 0
-- 27.07.2019;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;4de09cc0-c8b5-4651-a73a-68e05ffacc22;2 : 1
-- 27.07.2019;9df3a517-2754-438b-bfe3-9d081aefa350;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;2 : 3
-- 27.07.2019;853ce6e8-987e-4cf0-846a-def18d96913a;fd36043a-ce04-46e7-99ae-63406444834b;4 : 1
-- 26.07.2019;f0b354a2-f8db-4b52-a180-f23816cbd6ac;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;4 : 3
-- 26.07.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;3 : 1
-- 21.07.2019;aa050628-4f65-4997-abef-e3fd6b80d07e;f021bbaf-ea80-468a-8cd0-b3674327dee5;1 : 2
-- 21.07.2019;fd36043a-ce04-46e7-99ae-63406444834b;9df3a517-2754-438b-bfe3-9d081aefa350;0 : 1
-- 21.07.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;853ce6e8-987e-4cf0-846a-def18d96913a;0 : 2
-- 21.07.2019;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;34e2f043-ca34-4743-847b-17f2000c8e16;2 : 0
-- 20.07.2019;52f41053-5060-4535-9aca-03c0a6a41a82;b1ab1613-d652-403f-8c7f-8ca7dfd37804;1 : 1
-- 20.07.2019;ce6a772c-9a31-4b10-81b1-f59ec6346b31;07979bc9-ac85-47f7-9d98-d5275039d627;1 : 3
-- 20.07.2019;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;431c60bd-c4ae-4253-b554-58af9cf46dd3;1 : 2
-- 20.07.2019;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;028c0edc-b63e-4f72-8e4b-34d1a78e3671;0 : 2
-- 20.07.2019;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;93eba939-30e6-4702-b854-87051111edbd;2 : 1
-- 20.07.2019;2313ec02-1e1d-4fd1-8278-57ed5bc64370;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 0
-- 20.07.2019;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;ee42400a-6bdf-4b68-ac30-437f50368b7e;1 : 3
-- 19.07.2019;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;f0b354a2-f8db-4b52-a180-f23816cbd6ac;3 : 2
-- 18.07.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;fd36043a-ce04-46e7-99ae-63406444834b;1 : 1
-- 18.07.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;34e2f043-ca34-4743-847b-17f2000c8e16;1 : 4
-- 17.07.2019;821e5563-bb3c-4a5e-8d56-79e25efb49cd;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;2 : 2
-- 17.07.2019;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;9df3a517-2754-438b-bfe3-9d081aefa350;3 : 1
-- 17.07.2019;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;ee42400a-6bdf-4b68-ac30-437f50368b7e;5 : 0
-- 17.07.2019;853ce6e8-987e-4cf0-846a-def18d96913a;ce6a772c-9a31-4b10-81b1-f59ec6346b31;4 : 0
-- 14.07.2019;9df3a517-2754-438b-bfe3-9d081aefa350;431c60bd-c4ae-4253-b554-58af9cf46dd3;2 : 1
-- 14.07.2019;aa050628-4f65-4997-abef-e3fd6b80d07e;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;2 : 1
-- 13.07.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 2
-- 13.07.2019;52f41053-5060-4535-9aca-03c0a6a41a82;2313ec02-1e1d-4fd1-8278-57ed5bc64370;4 : 0
-- 13.07.2019;ce6a772c-9a31-4b10-81b1-f59ec6346b31;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;0 : 3
-- 13.07.2019;821e5563-bb3c-4a5e-8d56-79e25efb49cd;4de09cc0-c8b5-4651-a73a-68e05ffacc22;1 : 2
-- 13.07.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;028c0edc-b63e-4f72-8e4b-34d1a78e3671;1 : 0
-- 13.07.2019;93eba939-30e6-4702-b854-87051111edbd;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;0 : 2
-- 13.07.2019;fd36043a-ce04-46e7-99ae-63406444834b;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 0
-- 12.07.2019;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;07979bc9-ac85-47f7-9d98-d5275039d627;1 : 3
-- 12.07.2019;ee42400a-6bdf-4b68-ac30-437f50368b7e;f0b354a2-f8db-4b52-a180-f23816cbd6ac;1 : 3
-- 12.07.2019;34e2f043-ca34-4743-847b-17f2000c8e16;853ce6e8-987e-4cf0-846a-def18d96913a;2 : 2
-- 07.07.2019;431c60bd-c4ae-4253-b554-58af9cf46dd3;f021bbaf-ea80-468a-8cd0-b3674327dee5;0 : 1
-- 07.07.2019;2313ec02-1e1d-4fd1-8278-57ed5bc64370;fd36043a-ce04-46e7-99ae-63406444834b;2 : 2
-- 07.07.2019;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;9df3a517-2754-438b-bfe3-9d081aefa350;3 : 3
-- 06.07.2019;f0b354a2-f8db-4b52-a180-f23816cbd6ac;ce6a772c-9a31-4b10-81b1-f59ec6346b31;6 : 1
-- 06.07.2019;07979bc9-ac85-47f7-9d98-d5275039d627;52f41053-5060-4535-9aca-03c0a6a41a82;1 : 0
-- 06.07.2019;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;821e5563-bb3c-4a5e-8d56-79e25efb49cd;1 : 0
-- 06.07.2019;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;aa050628-4f65-4997-abef-e3fd6b80d07e;1 : 2
-- 06.07.2019;4de09cc0-c8b5-4651-a73a-68e05ffacc22;ee42400a-6bdf-4b68-ac30-437f50368b7e;3 : 2
-- 06.07.2019;93eba939-30e6-4702-b854-87051111edbd;b1ab1613-d652-403f-8c7f-8ca7dfd37804;2 : 3
-- 04.07.2019;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;2 : 0
-- 04.07.2019;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;853ce6e8-987e-4cf0-846a-def18d96913a;1 : 2
-- 04.07.2019;028c0edc-b63e-4f72-8e4b-34d1a78e3671;34e2f043-ca34-4743-847b-17f2000c8e16;2 : 0
-- 03.07.2019;52f41053-5060-4535-9aca-03c0a6a41a82;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 0
-- 03.07.2019;ee42400a-6bdf-4b68-ac30-437f50368b7e;9df3a517-2754-438b-bfe3-9d081aefa350;4 : 0
-- 03.07.2019;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;f0b354a2-f8db-4b52-a180-f23816cbd6ac;1 : 5
-- 03.07.2019;821e5563-bb3c-4a5e-8d56-79e25efb49cd;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;5 : 1
-- 03.07.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;07979bc9-ac85-47f7-9d98-d5275039d627;3 : 1
